Id,franchise,picked,playername,position,team,bye
227,0,0,Corey Coleman,WR,CLE,11
228,0,0,Josh Gordon,WR,CLE,11
229,0,0,DeAndre Hopkins,WR,HOU,10
230,0,0,Sammy Watkins,WR,KC,12
231,0,0,Tyrell Williams,WR,LAC,8
232,0,0,Kelvin Benjamin,WR,BUF,11
233,0,0,Kenny Golladay,WR,DET,6
234,0,0,Marvin Jones Jr,WR,DET,6
235,0,0,Larry Fitzgerald,WR,ARI,9
236,0,0,Michael Thomas,WR,NO,6
237,0,0,Jordy Nelson,WR,OAK,7
238,0,0,Martavis Bryant,WR,OAK,7
239,0,0,Jarvis Landry,WR,CLE,11
240,0,0,Alshon Jeffery,WR,PHI,9
241,0,0,Golden Tate,WR,DET,6
242,0,0,Danny Amendola,WR,MIA,11
243,0,0,Brandin Cooks,WR,LAR,12
244,0,0,JuJu Smith-Schuster,WR,PIT,7
245,0,0,Tyreek Hill,WR,KC,12
246,0,0,Doug Baldwin,WR,SEA,7
247,0,0,Sterling Shepard,WR,NYG,9
248,0,0,Devin Funchess,WR,CAR,4
249,0,0,Will Fuller,WR,HOU,10
250,0,0,Jamison Crowder,WR,WAS,4
251,0,0,Antonio Brown,WR,PIT,7
252,0,0,Kevin White,WR,CHI,5
253,0,0,Chris Hogan,WR,NE,11
254,0,0,T.Y. Hilton,WR,IND,9
255,0,0,Mike Williams,WR,LAC,8
256,0,0,John Ross,WR,CIN,9
257,0,0,Demaryius Thomas,WR,DEN,10
258,0,0,Julio Jones,WR,ATL,8
259,0,0,A.J. Green,WR,CIN,9
260,0,0,Davante Adams,WR,GB,7
261,0,0,Stefon Diggs,WR,MIN,10
262,0,0,Robby Anderson,WR,NYJ,11
263,0,0,Mike Evans,WR,TB,5
264,0,0,Dez Bryant,WR,,
265,0,0,Kenny Stills,WR,MIA,11
266,0,0,Marquise Goodwin,WR,SF,11
267,0,0,Amari Cooper,WR,OAK,7
268,0,0,Paul Richardson,WR,WAS,4
269,0,0,Mohamed Sanu,WR,ATL,8
270,0,0,Robert Woods,WR,LAR,12
271,0,0,Jermaine Kearse,WR,NYJ,11
272,0,0,Ted Ginn Jr.,WR,NO,6
273,0,0,Rishard Matthews,WR,TEN,8
274,0,0,Mike Wallace,WR,PHI,9
275,0,0,Travis Benjamin,WR,LAC,8
276,0,0,Randall Cobb,WR,GB,7
277,0,0,Marqise Lee,WR,JAC,9
278,0,0,Keelan Cole,WR,JAC,9
279,0,0,DeSean Jackson,WR,TB,5
280,0,0,Ryan Grant,WR,WAS,4
281,0,0,Tyler Lockett,WR,SEA,7
282,0,0,Brandon LaFell,WR,CIN,9
283,0,0,Jaron Brown,WR,ARI,9
284,0,0,DeVante Parker,WR,MIA,11
285,0,0,Adam Humphries,WR,TB,5
286,0,0,Deonte Thompson,WR,DAL,8
287,0,0,Kendall Wright,WR,MIN,10
288,0,0,J.J Nelson,WR,ARI,9
289,0,0,Allen Hurns,WR,DAL,8
290,0,0,Jeremy Maclin,WR,,
291,0,0,Eric Decker,WR,NE,
292,0,0,Terrance Williams,WR,DAL,8
293,0,0,Torrey Smith,WR,CAR,4
294,0,0,Cole Beasley,WR,DAL,8
295,0,0,Donte Moncrief,WR,JAC,9
296,0,0,Cordarrelle Patterson,WR,NE,11
297,0,0,John Brown,WR,BAL,10
298,0,0,Seth Roberts,WR,OAK,7
299,0,0,Taylor Gabriel,WR,CHI,5
300,0,0,Cody Latimer,WR,NYG,9
301,0,0,Zay Jones,WR,BUF,11
302,0,0,Dontrelle Inman,WR,CHI,5
303,0,0,Kenny Britt,WR,NE,11
304,0,0,Jordan Matthews,WR,NE,11
305,0,0,Tyler Boyd,WR,CIN,9
306,0,0,Andre Holmes,WR,BUF,11
307,0,0,Terrelle Pryor,WR,NYJ,11
308,0,0,Jeremy Kerley,WR,BUF,11
309,0,0,Eli Rogers,WR,PIT,7
310,0,0,Laquon Treadwell,WR,MIN,10
311,0,0,Phillip Dorsett,WR,NE,11
312,0,0,Louis Murphy,WR,SF,11
313,0,0,Curtis Samuel,WR,CAR,4
314,0,0,Brandon Marshall,WR,SEA,7
315,0,0,Darrius Heyward-Bey,WR,PIT,7
